# DEFAULT,RECALL,PRECISION,F1,ROC-AUC,AVERAGE PRECISION
373009.0,1.0,0.10931103539056698,0.19707914534913226,0.6990505037279613,0.21493097858334587
367329.0,0.9988473046549272,0.11087335876013056,0.19959176972479986,0.6990505037279613,0.21493097858334587
355929.0,0.9943836758718791,0.11391316807565553,0.20440984817357064,0.6990505037279613,0.21493097858334587
340515.0,0.9849413842154314,0.11793900415547039,0.2106538609820897,0.6990505037279613,0.21493097858334587
320086.0,0.9684602933241772,0.12336684516036316,0.21885495760128582,0.6990505037279613,0.21493097858334587
293896.0,0.9411880119684113,0.13057680267849853,0.2293363611916216,0.6990505037279613,0.21493097858334587
263154.0,0.8997890812772845,0.1394164633636578,0.24142560080018954,0.6990505037279613,0.21493097858334587
227609.0,0.8388679060185412,0.15027525273605175,0.2548894676637492,0.6990505037279613,0.21493097858334587
189922.0,0.7576641977730907,0.1626615136740346,0.2678243229184728,0.6990505037279613,0.21493097858334587
152286.0,0.6641487222249473,0.17782330614764325,0.2805345488449187,0.6990505037279613,0.21493097858334587
116482.0,0.5589591406288321,0.19566113219209835,0.28985857455359415,0.6990505037279613,0.21493097858334587
83012.0,0.44094275763967233,0.2165831446055992,0.2904851921865154,0.6990505037279613,0.21493097858334587
54341.0,0.3176043557168784,0.23830993172742496,0.2723019502707249,0.6990505037279613,0.21493097858334587
31048.0,0.20081424437141315,0.2637206905436743,0.2280081312132773,0.6990505037279613,0.21493097858334587
14381.0,0.10526315789473684,0.2984493428829706,0.1556341220197625,0.6990505037279613,0.21493097858334587
4468.0,0.03803894638740374,0.34713518352730527,0.06856460810751072,0.6990505037279613,0.21493097858334587
769.0,0.008019816549762103,0.42522756827048114,0.01574272440603712,0.6990505037279613,0.21493097858334587
64.0,0.0008583901505861578,0.546875,0.001714089818306479,0.6990505037279613,0.21493097858334587
0.0,0.0,0.0,,0.6990505037279613,0.21493097858334587
